Dossier;Naam;Voornaam;Geboortedatum;Overlijdensdatum;Polis;Domein - Omschrijving;Polistype - Omschrijving;Product Template Name;Product Template ID;E-mail;Maatschappij;Natuurlijk/Rechtsp - Omschrijving
270/00;Vandenberghe;Jan;14/05/1958;;1713801;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;jan.vandenberghe@qollabi.com;DAS;Natuurlijk persoon
270/00;Vandenberghe;Jan;14/05/1958;;3721492;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;jan.vandenberghe@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
270/00;Vandenberghe;Jan;14/05/1958;;5H52760;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;jan.vandenberghe@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
270/00;Vandenberghe;Jan;14/05/1958;;69516760;Arbeidsongevallen en collectieve verzekeringen;AO huispersoneel;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;jan.vandenberghe@qollabi.com;AG INSURANCE;Natuurlijk persoon
270/00;Vandenberghe;Jan;14/05/1958;;7F80436;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;jan.vandenberghe@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
270/00;Vandenberghe;Jan;14/05/1958;;7M86683;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;jan.vandenberghe@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
270/01;Kerkhofs;Veerle;15/11/1959;;12228893;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;jan.vandenberghe@qollabi.com;AG INSURANCE;Natuurlijk persoon
270/01;Kerkhofs;Veerle;15/11/1959;;NCN101101439;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;jan.vandenberghe@qollabi.com;ALLIANZ;Natuurlijk persoon
272/00;Maes;Dirk;03/12/1965;;1158327;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;dirk.maes@qollabi.com;DAS;Natuurlijk persoon
272/00;Maes;Dirk;03/12/1965;;3968118;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;dirk.maes@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
277/00;Schepers;Elza;05/10/1965;;44010339;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;elza.schepers@qollabi.com;AG INSURANCE;Natuurlijk persoon
277/00;Schepers;Elza;05/10/1965;;60303683;BA andere dan particulieren;BA Beroep (Intellectuele, Vrije, Commerciële);BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) AG INSURANCE;BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) AG INSURANCE;elza.schepers@qollabi.com;AG INSURANCE;Natuurlijk persoon
277/01;Devos;Murat;01/01/1965;;924385;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;murat.devos@qollabi.com;DAS;Natuurlijk persoon
277/01;Devos;Murat;01/01/1965;;502123211;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AXA;BA particulieren BA Privéleven AXA;murat.devos@qollabi.com;AXA;Natuurlijk persoon
277/01;Devos;Murat;01/01/1965;;5U56692;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;murat.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
277/01;Devos;Murat;01/01/1965;;7065072;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;murat.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
277/01;Devos;Murat;01/01/1965;;8858411;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;murat.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;1971306;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;wesley.stevens@qollabi.com;DAS;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;317951411;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;wesley.stevens@qollabi.com;DKV Belgium;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;351333051;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;wesley.stevens@qollabi.com;DKV Belgium;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;623591310;Auto;Lichte Vrachtwagens;Auto Lichte Vrachtwagens AXA;Auto Lichte Vrachtwagens AXA;wesley.stevens@qollabi.com;AXA;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;623777782;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;wesley.stevens@qollabi.com;AXA;Natuurlijk persoon
278/00;Stevens;Wesley;13/07/1987;;8656282;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;wesley.stevens@qollabi.com;AG INSURANCE;Natuurlijk persoon
281/00;Verhoeven;Juliaan;14/11/1948;;3819632;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;;BALOISE INSURANCE;Natuurlijk persoon
283/00;Timmermans;Georgetta;24/12/1935;;891269;Rechtsbijstand;Rechtsbijstand Privéleven (eventueel met Auto);Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;;DAS;Natuurlijk persoon
283/00;Timmermans;Georgetta;24/12/1935;;290083611;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;;DKV Belgium;Natuurlijk persoon
283/00;Timmermans;Georgetta;24/12/1935;;802159006;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;;AXA;Natuurlijk persoon
283/00;Timmermans;Georgetta;24/12/1935;;SCA003806747;BA particulieren;BA Privéleven;BA particulieren BA Privéleven ALLIANZ;BA particulieren BA Privéleven ALLIANZ;;ALLIANZ;Natuurlijk persoon
287/02;Zenith Industries;;;;48177538;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;peakinvest@qollabi.com;AG INSURANCE;Rechtspersoon
287/02;Zenith Industries;;;;48946444;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen AG INSURANCE;peakinvest@qollabi.com;AG INSURANCE;Rechtspersoon
292/00;Timmermans;Jan;09/09/1955;;I190008169;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;;AFER EUROPE;Natuurlijk persoon
292/01;Smeets;Monique;08/11/1955;;I190008172;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;;AFER EUROPE;Natuurlijk persoon
293/00;Claes;Ludo;29/10/1954;;I190008422;Leven en belegging;Individueel Leven (Meerdere Takken);Leven en belegging Individueel Leven (Meerdere Takken) AFER EUROPE;Leven en belegging Individueel Leven (Meerdere Takken) AFER EUROPE;ludo.claes@qollabi.com;AFER EUROPE;Natuurlijk persoon
293/01;De Wolf;Margaretha;28/03/1956;;I190004957;Leven en belegging;Individueel Leven i.v.m. Beleggingsfondsen (Tak 23);Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) AFER EUROPE;Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) AFER EUROPE;margaretha.dewolf@qollabi.com;AFER EUROPE;Natuurlijk persoon
298/00;Thijs;RUDI;09/03/1957;;820165;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;;DAS;Natuurlijk persoon
298/00;Thijs;RUDI;09/03/1957;;NCN100869954;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;;ALLIANZ;Natuurlijk persoon
299/00;Claes;Raphaël;18/03/1939;;208645161;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;raphal.claes@qollabi.com;DKV Belgium;Natuurlijk persoon
299/00;Claes;Raphaël;18/03/1939;;502085553;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AXA;BA particulieren BA Privéleven AXA;raphal.claes@qollabi.com;AXA;Natuurlijk persoon
299/00;Claes;Raphaël;18/03/1939;;64131617;Arbeidsongevallen en collectieve verzekeringen;AO huispersoneel;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;raphal.claes@qollabi.com;AG INSURANCE;Natuurlijk persoon
299/02;Zenith Partners;;;;1029834;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;raphal.claes@qollabi.com;DAS;Rechtspersoon
299/02;Zenith Partners;;;;2685950;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;raphal.claes@qollabi.com;BALOISE INSURANCE;Rechtspersoon
299/02;Zenith Partners;;;;48818520;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;raphal.claes@qollabi.com;AG INSURANCE;Rechtspersoon
299/02;Zenith Partners;;;;50304395;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;raphal.claes@qollabi.com;AG INSURANCE;Rechtspersoon
299/02;Zenith Partners;;;;5J99763;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;raphal.claes@qollabi.com;BALOISE INSURANCE;Rechtspersoon
299/02;Zenith Partners;;;;802193579;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;raphal.claes@qollabi.com;AXA;Rechtspersoon
300/00;Wouters;Geert;02/04/1958;;1030349;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;geert.wouters@qollabi.com;DAS;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;3952156;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;geert.wouters@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;3E80826;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;geert.wouters@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;500261640;Individueel;Persoonlijke Ongevallen algemeen;Individueel Persoonlijke Ongevallen algemeen AXA;Individueel Persoonlijke Ongevallen algemeen AXA;geert.wouters@qollabi.com;AXA;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;500356375;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AXA;BA particulieren BA Privéleven AXA;geert.wouters@qollabi.com;AXA;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;602424835;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden AXA;Individueel Verkeer & Inzittenden AXA;geert.wouters@qollabi.com;AXA;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;618828023;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;geert.wouters@qollabi.com;AXA;Natuurlijk persoon
300/00;Wouters;Geert;02/04/1958;;802297660;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;geert.wouters@qollabi.com;AXA;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;3533320;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;frank.vandyck@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;3566058;Rechtsbijstand;Rechtsbijstand Privéleven (eventueel met Auto);Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) EUROMEX;Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) EUROMEX;frank.vandyck@qollabi.com;EUROMEX;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;5290395;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;frank.vandyck@qollabi.com;Cardif;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;5U73212;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;frank.vandyck@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;7459211;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;frank.vandyck@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;7M80561;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;frank.vandyck@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
303/00;Van Dyck;Frank;18/06/1967;;8634350;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;frank.vandyck@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
303/01;Desmet;Yolanda;16/07/1965;;5289952;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;frank.vandyck@qollabi.com;Cardif;Natuurlijk persoon
303/02;De Ridder;;;;12088238;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;;AG INSURANCE;Groepering van natuurlijke en/of rechtspersonen
303/02;De Ridder;;;;12088252;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;;AG INSURANCE;Groepering van natuurlijke en/of rechtspersonen
303/02;De Ridder;;;;12088260;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;;AG INSURANCE;Groepering van natuurlijke en/of rechtspersonen
303/02;De Ridder;;;;12280980;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;;AG INSURANCE;Groepering van natuurlijke en/of rechtspersonen
304/00;Aerts;Jan;20/08/1979;;1B35883;Individueel;Gewaarborgd inkomen;Individueel Gewaarborgd inkomen BALOISE INSURANCE;Individueel Gewaarborgd inkomen BALOISE INSURANCE;jan.aerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;1C24897;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE INSURANCE;jan.aerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;2201929;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;jan.aerts@qollabi.com;DAS;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;624722602;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;jan.aerts@qollabi.com;AXA;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;624943807;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;jan.aerts@qollabi.com;AXA;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;7039790;BA andere dan particulieren;BA Beroep (Intellectuele, Vrije, Commerciële);BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) BALOISE INSURANCE;BA andere dan particulieren BA Beroep (Intellectuele, Vrije, Commerciële) BALOISE INSURANCE;jan.aerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;730419697;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen AXA;Brand eenvoudige risico's Brand ER - handelshuizen AXA;jan.aerts@qollabi.com;AXA;Natuurlijk persoon
304/00;Aerts;Jan;20/08/1979;;7L63494;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;jan.aerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
306/02;Core Tech;;;;1044563;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;coretech@qollabi.com;DAS;Rechtspersoon
306/02;Core Tech;;;;618953527;Auto;Lichte Vrachtwagens;Auto Lichte Vrachtwagens AXA;Auto Lichte Vrachtwagens AXA;coretech@qollabi.com;AXA;Rechtspersoon
306/02;Core Tech;;;;621748736;Auto;Lichte Vrachtwagens;Auto Lichte Vrachtwagens AXA;Auto Lichte Vrachtwagens AXA;coretech@qollabi.com;AXA;Rechtspersoon
306/02;Core Tech;;;;730451068;Multi-takken;Multi-tak (Handel, kleine nijverheid, Manuele Beroepen);Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;coretech@qollabi.com;AXA;Rechtspersoon
306/02;Core Tech;;;;811926466;Multi-takken;Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...);Multi-takken Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...) AXA;Multi-takken Gegroepeerde gezinspolissen Brand + andere (BA Gezin, ...) AXA;coretech@qollabi.com;AXA;Rechtspersoon
307/00;Devos;Boudewijn;27/09/1950;;840625;Rechtsbijstand;Rechtsbijstand Privéleven (eventueel met Auto);Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;Rechtsbijstand Rechtsbijstand Privéleven (eventueel met Auto) DAS;boudewijn.devos@qollabi.com;DAS;Natuurlijk persoon
307/00;Devos;Boudewijn;27/09/1950;;502081767;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AXA;BA particulieren BA Privéleven AXA;boudewijn.devos@qollabi.com;AXA;Natuurlijk persoon
307/00;Devos;Boudewijn;27/09/1950;;802132177;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;boudewijn.devos@qollabi.com;AXA;Natuurlijk persoon
307/00;Devos;Boudewijn;27/09/1950;;8492268;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;boudewijn.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
307/01;Goossens;Ida;31/12/1953;;1250201;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;boudewijn.devos@qollabi.com;AG INSURANCE;Natuurlijk persoon
307/01;Goossens;Ida;31/12/1953;;2401520072;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;boudewijn.devos@qollabi.com;NN INSURANCE BELGIUM;Natuurlijk persoon
307/01;Goossens;Ida;31/12/1953;;7633067;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;boudewijn.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
307/01;Goossens;Ida;31/12/1953;;8472125;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;boudewijn.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;1630635;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;waldemar.devos@qollabi.com;DAS;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;3793410;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;3E03289;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;5L97270;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;5U61103;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/00;De Vos;Waldemar;14/11/1960;;7897005;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
309/04;Gamma Group;;;;1927310;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;waldemar.devos@qollabi.com;DAS;Rechtspersoon
309/04;Gamma Group;;;;7B58768;BA andere dan particulieren;BA Verenigingen en Instellingen;BA andere dan particulieren BA Verenigingen en Instellingen BALOISE INSURANCE;BA andere dan particulieren BA Verenigingen en Instellingen BALOISE INSURANCE;waldemar.devos@qollabi.com;BALOISE INSURANCE;Rechtspersoon
310/00;De Clercq;Paul;31/10/1959;;15031560;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;Leven en belegging Individueel Leven Klassiek (Tak 21) AFER EUROPE;;AFER EUROPE;Natuurlijk persoon
